,A01,A02,A03,B05-09,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31-32,C33,D35,E36,E37-39,F41-43,G45,G46,G47,H49,H50,H51,H52,H53,I55-56,J58,J59-60,J61,J62-63,K64,K65,K66,L68,M69-70,M71,M72,M73,M74-75,N77,N78,N79,N80-82,O84,P85,Q86,Q87-88,R90-92,R93,S94,S95,S96,T97-98
M71,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0,0.5,0.5,0.5,1,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
M72,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M73,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M74-75,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
N77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0
N78,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,1,0.5,0.5,1,1,0.5,0,0,0,0,0,0,1,0,0.5,1,0.5,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,1,0.5,1,1,1,1,1,1,1,0
N79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0
N80-82,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,1,0.5,0.5,1,1,0.5,0,0,0,0,0,0,1,0,0.5,1,0.5,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0,0,0,1,1,0.5,1,1,1,1,1,1,1,0
O84,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
P85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0
Q86,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0
Q87-88,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0
R90-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0
R93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0
S94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T97-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
